"Method";"Mean_RD";"Nb_itt";"Coverage_rate";"MC_CR";"CI_width";"P_025_CIW";"P_975_CIW";"MC_CIW";"Bias_Mean";"MC_bias";"Bias_relative_Mean";"MC_RelativeBias";"Emp_SE";"ModSE";"RE_SE";"MC_RESE";"Scenario";"k";"m";"icc";"nb_cov_indiv";"nb_cov_clus";"Prevalence";"Convergence_rate"
"CL_TMLE_APS_indv_Balzer";0,0934996162083581;1000;94,6;0,00714730718522718;0,268905655680329;0,239436734364768;0,291153374876161;0,000411465052570946;-0,00650038379164188;0,00213415978701107;-6,50038379164188;0,0229177990241906;0,0674880581769482;0,0664939572801017;-1,47300266699046;2,20423449877251;6;20;150;0,2;3;2;"0.5/0.4";100
"CL_UN";0,114258479697022;1000;94;0,00750999334220744;0,287381424537469;0,24853273897119;0,322452945397904;0,000610450814205564;0,0142584796970221;0,0022481758036511;14,2584796970221;0,0201867454311882;0,0710935612001696;0,0719453181832283;1,19807893806381;2,26399386165004;7;30;10;0,2;3;2;"0.5/0.4";100
"CL_TSP_Gauss";0,0917535817353701;1000;95,5;0,00655553201502365;0,270164072734148;0,232231671526213;0,307991080985512;0,000617888782806445;-0,00824641826462988;0,00207732238289074;-8,24641826462988;0,0227900692480564;0,0656907016438312;0,0676077085022092;2,91823166811624;2,30247682188434;7;30;10;0,2;3;2;"0.5/0.4";100
"CL_TSP_Bin";0,0917349363741717;1000;95,4;0,00662449998113065;0,270133268714507;0,232091547357007;0,307843127866927;0,000618697704359728;-0,00826506362582827;0,00207651314725124;-8,26506362582827;0,022786553448552;0,0656651113659852;0,0676005004275571;2,94736279481056;2,30312855070584;7;30;10;0,2;3;2;"0.5/0.4";100
"CL_GC_indv";0,10194960369971;1000;95,9;0,00627048642451286;0,271792403352871;0,234527593892086;0,305709699696427;0,000567965810501904;0,00194960369971043;0,00208739644604255;1,94960369971043;0,0204840764716175;0,0660092714923524;0,0680622774259331;3,1101781418972;2,30677048176702;7;30;10;0,2;3;2;"0.5/0.4";100
"CL_GC_both";0,102281805293421;1000;95,6;0,00648567652600714;0,272167880111543;0,232413721775189;0,313018948688745;0,000658829472430476;0,00228180529342114;0,00211743787972644;2,28180529342114;0,020714583439801;0,0669592650385322;0,0682068856074401;1,86325308109323;2,27887551641792;7;30;10;0,2;3;2;"0.5/0.4";100
"CL_GC_indep_indv";0,101819428516805;1000;96;0,00619677335393187;0,287621064942911;0,242529336109572;0,334477494969576;0,000747848810418005;0,00181942851680495;0,00218339197750279;1,81942851680495;0,0214514907274294;0,0690449167384793;0,0721117872425852;4,44184836332295;2,33656515940018;7;30;10;0,2;3;2;"0.5/0.4";100
"CL_GC_indep_both";0,10239851510904;1000;96;0,00619677335393187;0,284375162877777;0,232866504755953;0,340204944950678;0,000858441782937483;0,00239851510904018;0,00219760252681769;2,39851510904018;0,0214746855291691;0,0694942937648516;0,0713811297665414;2,7150948653055;2,29793626546213;7;30;10;0,2;3;2;"0.5/0.4";100
"CL_TMLE_indv";0,094078406122693;1000;94,7;0,00708456067798138;0,266747937394383;0,231097862302454;0,302663108503644;0,000596612014578025;-0,00592159387730695;0,00213496336644791;-5,92159387730695;0,0227706520559542;0,067513469589961;0,0667960481125682;-1,06263458499474;2,21341699951537;7;30;10;0,2;3;2;"0.5/0.4";100
"CL_TMLE_both";0,0944956774664551;1000;94,5;0,00720936890441875;0,264991983759246;0,225018693136053;0,306141573832822;0,00066578509883505;-0,00550432253354489;0,00218151155672101;-5,50432253354489;0,02315142624226;0,06898545261218;0,0663995343362184;-3,74849794854434;2,15332994406549;7;30;10;0,2;3;2;"0.5/0.4";100
"CL_TMLE_APS_Balzer";0,0984574003906652;1000;93,8;0,00762600813007697;0,25990677560124;0,222635351115029;0,297248228990451;0,000604489200538303;-0,00154259960933477;0,0021896855102942;-1,54259960933477;0,0222452827261937;0,0692439357199775;0,0664828758882761;-3,98743919303945;2,14798374414276;7;30;10;0,2;3;2;"0.5/0.4";100
"CL_TMLE_APS_indv_Balzer";0,0982507407956871;1000;94,2;0,00739161687318817;0,264357467384052;0,229351700044713;0,299139390740671;0,000587872029903293;-0,00174925920431287;0,00215290053502465;-1,74925920431287;0,021919296463688;0,06808069266473;0,0676057466989078;-0,69762211169192;2,22158309881217;7;30;10;0,2;3;2;"0.5/0.4";100
